1	Nov 12, 2025 04:12:26.827754000 EST	192.168.181.128	192.168.181.128	36639	587	0x0002
2	Nov 12, 2025 04:12:26.827771000 EST	192.168.181.128	192.168.181.128	587	36639	0x0014
3	Nov 12, 2025 04:12:26.827800000 EST	192.168.181.128	192.168.181.128	36639	80	0x0002
4	Nov 12, 2025 04:12:26.827805000 EST	192.168.181.128	192.168.181.128	80	36639	0x0014
5	Nov 12, 2025 04:12:26.827810000 EST	192.168.181.128	192.168.181.128	36639	3389	0x0002
6	Nov 12, 2025 04:12:26.827814000 EST	192.168.181.128	192.168.181.128	3389	36639	0x0014
7	Nov 12, 2025 04:12:26.827818000 EST	192.168.181.128	192.168.181.128	36639	5900	0x0002
8	Nov 12, 2025 04:12:26.827822000 EST	192.168.181.128	192.168.181.128	5900	36639	0x0014
9	Nov 12, 2025 04:12:26.827827000 EST	192.168.181.128	192.168.181.128	36639	993	0x0002
10	Nov 12, 2025 04:12:26.827832000 EST	192.168.181.128	192.168.181.128	993	36639	0x0014
11	Nov 12, 2025 04:12:26.827837000 EST	192.168.181.128	192.168.181.128	36639	3306	0x0002
12	Nov 12, 2025 04:12:26.827841000 EST	192.168.181.128	192.168.181.128	3306	36639	0x0014
13	Nov 12, 2025 04:12:26.827846000 EST	192.168.181.128	192.168.181.128	36639	139	0x0002
14	Nov 12, 2025 04:12:26.827849000 EST	192.168.181.128	192.168.181.128	139	36639	0x0014
15	Nov 12, 2025 04:12:26.827857000 EST	192.168.181.128	192.168.181.128	36639	23	0x0002
16	Nov 12, 2025 04:12:26.827861000 EST	192.168.181.128	192.168.181.128	23	36639	0x0014
17	Nov 12, 2025 04:12:26.827866000 EST	192.168.181.128	192.168.181.128	36639	1025	0x0002
18	Nov 12, 2025 04:12:26.827869000 EST	192.168.181.128	192.168.181.128	1025	36639	0x0014
19	Nov 12, 2025 04:12:26.827874000 EST	192.168.181.128	192.168.181.128	36639	445	0x0002
20	Nov 12, 2025 04:12:26.827877000 EST	192.168.181.128	192.168.181.128	445	36639	0x0014
21	Nov 12, 2025 04:12:26.827929000 EST	192.168.181.128	192.168.181.128	36639	135	0x0002
22	Nov 12, 2025 04:12:26.827932000 EST	192.168.181.128	192.168.181.128	135	36639	0x0014
23	Nov 12, 2025 04:12:26.827937000 EST	192.168.181.128	192.168.181.128	36639	8888	0x0002
24	Nov 12, 2025 04:12:26.827940000 EST	192.168.181.128	192.168.181.128	8888	36639	0x0014
25	Nov 12, 2025 04:12:26.827945000 EST	192.168.181.128	192.168.181.128	36639	995	0x0002
26	Nov 12, 2025 04:12:26.827948000 EST	192.168.181.128	192.168.181.128	995	36639	0x0014
27	Nov 12, 2025 04:12:26.827953000 EST	192.168.181.128	192.168.181.128	36639	111	0x0002
28	Nov 12, 2025 04:12:26.827956000 EST	192.168.181.128	192.168.181.128	111	36639	0x0014
29	Nov 12, 2025 04:12:26.827961000 EST	192.168.181.128	192.168.181.128	36639	1723	0x0002
30	Nov 12, 2025 04:12:26.827964000 EST	192.168.181.128	192.168.181.128	1723	36639	0x0014
